phenotype,trait_type,mean_fitness_value,mean_across_category
eye-nostril distance,M,2.96,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid concentration,M,4.917,
fatty acid ratio,M,4.917,
fatty acid ratio,M,4.917,
fatty acid ratio,M,4.917,
fatty acids,M,4.917,
fatty acids,M,4.917,
fatty acids,M,4.917,
Fe root concentration,M,5.034,
Fe root concentration,M,5.034,
Fe shoot concentration,M,4.621,
Fe shoot concentration,M,4.621,
finger 1 length,M,4.414,
finger 1 length,M,4.414,
finger 3 length,M,4.414,
finger 3 length,M,4.414,
first siliqua height,M,5.036,
first siliqua height,M,5.036,
first siliqua height,M,5.036,
first siliqua height,M,5.036,
flag leaf area,M,4.833,
flag leaf area,M,4.833,
flag leaf area,M,4.833,
flag-leaf angle,M,4.833,
flag-leaf angle,M,4.833,
flag-leaf angle,M,4.833,
flag-leaf angle,M,4.833,
flag-leaf area,M,4.833,
flag-leaf area,M,4.833,
flag-leaf area,M,4.833,
flag-leaf area,M,4.833,
flag-leaf duration,M,4.714,
